"idmarcas";"nome";"cnpj";"endereco"
4;"MULTI VEGETAL";2147483647;"Rua Rodrigo Ribeiro de Melo, 226"
5;"Ahoaloe";2147483647;"Rua Paulistania, 467"
6;"Livealoe";2147483647;"Rodovia Go 230, Km 03, Margem Esquerda, S/N"
7;"Souvie";2147483647;"Rua Sargento Gabriel Pedro de Oliveira, 151"
8;"Cativa Natureza";0;""
9;"Boni Natural";0;""
10;"Ares de Mato";0;""
11;"WNF";0;""
12;"Bioart";0;""
13;"Arte dos Aromas";0;""
14;"Khor Cosmetics";0;""
15;"Use Orgânico";0;""
16;"Alva";0;""
17;"Benecos";0;""
18;"Care Natural Beauty";0;""
19;"Almanati";0;""
